artista;quantidade
Banda Magníficos;1
Scalene;1
Kelly Key;1
Tulipa Ruiz;1
Silva;1
August Kamp;1
Julien Baker;1
Belle Mt.;1
Billy Vena;1
Fionn Regan;1
COIN;1
Alexander 23;1
Mod Sun;1
boygenius;1
Role Model;1
Mt. Joy;1
Wild Youth;1
Charlie Hickey;1
Sofia Wylie;1
Sleeping With Sirens;1
Glass Animals;1
Pat Benatar;1
Banda Eva;1
Dire Straits;1
Semisonic;1
Kiss;1
My Chemical Romance;1
Noah Cyrus;1
Måneskin;1
Mike Posner;1
Meat Loaf;1
K.D. Lang;1
Ella Mai;1
Hoobastank;1
Estelle;1
Fun.;1
TLC;1
Destiny's Child;1
Train;1
The Ting Tings;1
James Blunt;1
SZA;1
John Legend;1
MC Rebecca;1
Filipe Ret;1
Polo G;1
Pabllo Vittar;1
Stromae;1
Leyla Blue;1
Saweetie;1
High School Musical;1
Tragedie;1
Jullie;1
Emily Osment;1
Andy Grammer;1
Flo Rida;1
Willow Smith;1
Alice Boman;1
Frida Sundemo;1
Boy Pablo;1
Aqua;1
Girl In Red;1
Alan Walker;1
Becky G;1
Jão;1
Alceu Valença;1
The Chainsmokers;1
Sam Hunt;1
Jennifer Lopez;1
Olly Murs;1
*NSYNC;1
Cine;1
Greyson Chance;1
Nate Ruess;1
Nick Cave & The Bad Seeds;1
Morrissey;1
The Church;1
Strike;1
Porcelain Black;1
Nickelback;1
The Pretty Reckless;1
Leona Lewis;1
Adam Faith;1
Sade;1
will.i.am;1
Joan Jett & The Blackhearts;1
Crazy Town;1
Liah;1
Maysa;1
Lady Gaga;1
Luka;1
Gabriel O Pensador;1
Swedish House Mafia;1
